        Type         |        Subtype        |   Base   |   Size   |  CRC32   |   Name 
 Section             | GUID defined          |   N/A    | 00000120 | 10433B2B | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 000000FC | 629B3768 | --------- Raw section
 File                | Freeform              |   N/A    | 000001CD | 3752DA64 | ------- D5AC2D09-8308-4A5F-9411-A6BCFFAA1377
 Section             | GUID defined          |   N/A    | 000001B5 | B4F57A89 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000193 | 9AA2D3B5 | --------- Raw section
 File                | Freeform              |   N/A    | 000001B2 | 3D33AE25 | ------- 202C5E59-00F6-49F1-8223-484F9889F1BE
 Section             | GUID defined          |   N/A    | 0000019A | 55185F7A | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000172 | FBD0BF2F | --------- Raw section
 File                | Freeform              |   N/A    | 00000602 | 64C61354 | ------- 1E58F36C-8F88-4704-B7C0-C97A009802DC
 Section             | GUID defined          |   N/A    | 000005EA | 79E6B776 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 000005C7 | 9C4DAD9C | --------- Raw section
 File                | Freeform              |   N/A    | 00000318 | 0BCD855E | ------- 2AFDD1E4-DBEC-4193-B83A-ED8B15D7671E
 Section             | GUID defined          |   N/A    | 00000300 | A4440F55 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 000002DC | AA6A7704 | --------- Raw section
 File                | Freeform              |   N/A    | 00000332 | 30368D1F | ------- AC49CC38-C0B1-4A39-BF15-DA9A21A0660A
 Section             | GUID defined          |   N/A    | 0000031A | 65253188 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 000002F3 | F753B2C3 | --------- Raw section
 File                | Freeform              |   N/A    | 000002E7 | 0A8E8CF4 | ------- 262D9B15-7A37-486E-B9FE-714600C2D647
 Section             | GUID defined          |   N/A    | 000002CF | C6C3CF76 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 000002A5 | 5DBD6861 | --------- Raw section
 File                | Freeform              |   N/A    | 000004C3 | 7B1BD7C0 | ------- 04D4DD6D-B58C-4CF2-8517-3406F9D914A4
 Section             | GUID defined          |   N/A    | 000004AB | A874560D | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 0000047D | 821F2B83 | --------- Raw section
 File                | Freeform              |   N/A    | 0000016D | E3159471 | ------- 1B1E8725-927F-48E5-9103-2FFC55512407
 Section             | GUID defined          |   N/A    | 00000155 | CAC50055 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000130 | 7035032D | --------- Raw section
 File                | Freeform              |   N/A    | 0000017D | F788ADC2 | ------- 32656F3A-64D7-4258-AA15-850796C6B298
 Section             | GUID defined          |   N/A    | 00000165 | 042217C3 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000143 | D17F4DB4 | --------- Raw section
 File                | Freeform              |   N/A    | 000001CD | 8E8FF661 | ------- F479CAD6-9C45-4E62-8C19-C3FF792DF056
 Section             | GUID defined          |   N/A    | 000001B5 | B4F57A89 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000193 | 9AA2D3B5 | --------- Raw section
 File                | Freeform              |   N/A    | 000001B2 | F4CECB99 | ------- CDC1F44D-8595-4BA7-A9FF-9CF4558845C3
 Section             | GUID defined          |   N/A    | 0000019A | 55185F7A | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 00000172 | FBD0BF2F | --------- Raw section
 File                | Freeform              |   N/A    | 00000602 | 696BE420 | ------- 76E71416-E1ED-47AD-B84A-542C8CFB1D2C
 Section             | GUID defined          |   N/A    | 000005EA | 79E6B776 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 000005C7 | 9C4DAD9C | --------- Raw section
 File                | Freeform              |   N/A    | 00000318 | 9E013891 | ------- 60C485D8-F768-48CE-A95C-E1BF7F88BB04
 Section             | GUID defined          |   N/A    | 00000300 | A4440F55 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 000002DC | AA6A7704 | --------- Raw section
 File                | Freeform              |   N/A    | 00000332 | E9260746 | ------- B2021A0F-B870-48C5-BE66-35AF0A189AE3
 Section             | GUID defined          |   N/A    | 0000031A | 65253188 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 000002F3 | F753B2C3 | --------- Raw section
 File                | Freeform              |   N/A    | 000002E7 | 15B7AE9E | ------- B836DAFB-04DC-462D-8597-7CFFBB2AD0B1
 Section             | GUID defined          |   N/A    | 000002CF | C6C3CF76 | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 000002A5 | 5DBD6861 | --------- Raw section
 File                | Freeform              |   N/A    | 000004C3 | FE668206 | ------- 0AB2DC9E-9E7F-48C8-A375-BDEF818F2090
 Section             | GUID defined          |   N/A    | 000004AB | A874560D | -------- EE4E5898-3914-4259-9D6E-DC7BD79403CF
 Section             | Raw                   |   N/A    | 0000047D | 821F2B83 | --------- Raw section
 File                | Freeform              |   N/A    | 000814CC | FE0D591F | ------- A0327FE0-1FDA-4E5B-905D-B510C45A61D0
 Section             | Freeform subtype GUID |   N/A    | 0000D414 | 65C96733 | -------- 12BF5331-4DF7-4CA8-9C7F-155EF4A67A3A
 Section             | Freeform subtype GUID |   N/A    | 0000D414 | 4B45AACF | -------- 2EEB6B7E-F112-4350-AB72-ADEC3840255C
 Section             | Freeform subtype GUID |   N/A    | 0000D414 | DEDA3867 | -------- 430A34B2-65F8-4C0A-B765-E02ADEC8DD63
 Section             | Freeform subtype GUID |   N/A    | 00010514 | 1D9246C7 | -------- 12FA6BCD-E5C0-4E61-8BC6-3876EC6C2083
 Section             | Freeform subtype GUID |   N/A    | 00010014 | 34C3A5E1 | -------- 41944F58-C7A7-4B23-A42A-4DF64694BEF4
 Section             | Freeform subtype GUID |   N/A    | 0000E014 | 390E3055 | -------- 1DE35113-FAB2-43BA-9137-225C47388CF7
 Section             | Freeform subtype GUID |   N/A    | 0000D614 | 5892333E | -------- 12BF5331-4DF7-4CA8-9C7F-155EF4A67A11
 Section             | Freeform subtype GUID |   N/A    | 0000D814 | F8F8173C | -------- 12BF5331-4DF7-4CA8-9C7F-155EF4A67985
 Section             | Freeform subtype GUID |   N/A    | 00010514 | 1D9246C7 | -------- 12FA6BCD-E5C0-4E61-8BC6-3876EC6C2083
 Free space          |                       |   N/A    | 000001F8 | A3295E14 | ------- Volume free space
 Free space          |                       | 00DD7E60 | 000281A0 | 94F023B3 | --- Volume free space
 Volume              | FFSv2                 | 00E00000 | 00200000 | 03C445B8 | -- 61C0F511-A691-4F54-974F-B9A42172CE53
 File                | Freeform              | 00E00078 | 000001A4 | DB71B69E | --- C91C3C17-FC74-46E5-BDBE-6F486A5A9F3C
 Section             | Freeform subtype GUID | 00E00090 | 0000018C | 6488575A | ---- 00781CA1-5DE3-405F-ABB8-379C3C076984
 File                | Freeform              | 00E00220 | 000000A4 | 56085ECE | --- 3FD1D3A2-99F7-420B-BC69-8BB1D492A332
 Section             | Freeform subtype GUID | 00E00238 | 0000008C | 00218616 | ---- 2EBE0275-6458-4AF9-91ED-D3F4EDB100AA
 File                | Freeform              | 00E002C8 | 0000003C | A597B20A | --- 5B85965C-455D-4CC6-9C4C-7F086967D2B0
 Section             | Raw                   | 00E002E0 | 00000024 | A7A10687 | ---- Raw section
